,description,label
0,"♦️ I wish you to stay healthy. Your character, strength and kindness will do the rest !",0
1,Les bases de l'algorithmique b Darija vos remarques,0
2,"Corona restrictions causing terrible financial stress to poor. Following decisions taken to provide them relief -1. Rs 4000- 5000 pension will be paid to 8.5 lakh beneficiaries by 7 April. 2. Free rations, with 50% more quantity than normal entitlements, to 72 lakh beneficiaries.3. Lunch and dinner will be served free to each and every person at all Delhi Government night shelters.4. For those who need to be quarantined and are opting for the paid hotel facility, GST will be waived to make it more affordable. hashtag#DelhiFightsCorona",0
3,📣📣AMAZON recrute des conseillers clients à Domicile .🧑‍💻Procédure de recrutement à distance ville : Casablanca - Rabat et environs📃contrat : CDIsalaire : 6387 DH net fixe pour 191h de travail par moisactivité : réception d'appels et chat en ligne en service client💼Profil recherché :Un excellent niveau de français 📧envoyer votre cv à : nisrine@rekrutacademy.com,1
4,Great illustration....,0
5,Great to see companies across Canada stepping up to help fight hashtag#COVID19. It's not easy to turn over massive production lines and to retrain staff to deliver new goods and services on a dime but businesses across the country are stepping up to the challenge. Proud to live in a country that gets it -- we're all in this together!Labatt Breweries of Canada,0
6,Le Maroc dont je suis si fier...,0
7,hashtag#عاجل : لكل من يمكنه المساعدة في تأمين أبسط وسائل الوقاية الطبية hashtag#كوروناhashtag#covid_19 hashtag#coronavirus hashtag#Dj_dz hashtag#LinkedIn hashtag#dz hashtag#Algerie hashtag#Algeria hashtag#muslims hashtag#Alger hashtag#muslim hashtag#sunnah hashtag#islam,0
8,I just published the fourth and last blog post about hashtag#Java 14 features. This one is about Text Blocks and Foreign-Memory Access API.,0
9,The pain you feel today is the strength you feel tomorrowhashtag#blutec_cloud,0
10,أول جهاز مساعدة للتنفس مغربي محلي الصنع. نحتاج لشركة للتجريب و التصنيعأتم البارحة السيد حميد المودن من مدينة طنجة تصنيع أول آلة تساعد على التنفس محلية الصنع جد خفيفة و يمكن نقلهاالسيد حميد يحتاج حاليا لشركة تحتضن منتوجه لتطويره و تسويقه على الصعيد الوطني.من يعرف أي شركة تختص في هذه الصناعات المرجو إخبارها@Hamid elmoudentel portable : 0600386756hamid.mouden@gmail.comيمكنكم الانضمام لمجموعة صنع في المغرب للمساهمة بأعمالكم :https://lnkd.in/dHfu4xvMore : facebook.com/7snaye3,0
11,"Are you at Home practicing social distancing to fight the spread of COVID-19, E-learning is now in the first line.it's a good time to learn new Digital skills on hashtag#IBM hashtag#DIGITALNATIONAFRICA Platform, and why not develop prototypes on IBM Cloud that can help fighting the Virus.https://lnkd.in/euKdujMhashtag#digitallearning hashtag#elearning hashtag#IBM hashtag#GUP hashtag#Innovation hashtag#Digitalnationafrica",0
12,"Ce virus a dévoilé une chose très importante pas aux gens mais aussi aux différents gouvernements : Les secteurs dont il faut y investir.L'éducation, la santé et la sûreté. L'éducation pour faire sortir des écoles des gens bien disciplinés et bien éduqués.La santé pour soigner les gens dans toutes les circonstances. Et la sûreté pour mettre de l'ordre dans chaque nation.Que tout le reste soit secondaire face à ces trois secteurs très sensibles et qui sont vraiment le fondement sain de chaque société. Vraiment ce virus laisse à réfléchir. hashtag#MB",0
13,"tout le monde est au courant sur le programme de coursera , COVID-19 , alors j'ai crée tout pour un grand nombre de étudiants de la Fst Fès ... je vais vous informer plutard beaucoup plus d'info sur le processus d'accés ... soonFB : https://lnkd.in/eF4xHsihashtag#بقا_فدارك_باش_تحمي_بلادكhashtag#stayhomehashtag#stayathomehashtag#coursera",0
14,Kamal EL FATIHI hashtag#Kudos I really appreciate you hashtag#GoingAboveAndBeyond,0
15,"VIVEMENT LA FIN DU CONFINEMENT, QU’ON PUISSE SE FAIRE DES CÂLINSLes bienfaits d'un câlin : • Libère l’hormone de l’ocytocine (l’hormone du bonheur qui engendre une sensation de bien-être immédiat) • Diminue le stress, l’anxiété, la tristesse et la dépression • Renforce l’estime de soi • Nous rassure sur le fait que nous ne sommes pas seuls, que nous sommes en capacité de recevoir de l’amour et d’en donner. Démonstration en vidéo avec cet enfant qui fait des câlins à tout le monde.hashtag#coronavirus hashtag#covid19 hashtag#Hug hashtag#calins hashtag#coach hashtag#coaching hashtag#happiness hashtag#Strategy hashtag#Strategie hashtag#Business hashtag#Success hashtag#Quotes hashtag#Inspiration hashtag#Entrepreneur hashtag#Life hashtag#Love hashtag#Happy hashtag#HR hashtag#Jobs hashtag#Marketing hashtag#Sales hashtag#Tips hashtag#Influencer hashtag#Successful hashtag#WorkLife hashtag#Leader hashtag#Manager hashtag#Team hashtag#management hashtag#Leadership hashtag#sport hashtag#engagement hashtag#collectif hashtag#socialpsychology hashtag#marketing hashtag#whatinspiresme hashtag#emotionalintelligence hashtag#marketing hashtag#money hashtag#gettingthingsdone hashtag#socialmedia hashtag#personaldevelopment hashtag#humanresources hashtag#Office hashtag#positivepsychology hashtag#careers",0
16,"أخي...الفيروس ماتيعرف لا النشيد الوطني ديالك لا الديانة ديالك لا الهوية ديالك ، حاول تقنع راسك بهاد الفكرة واخا صعيبة شوية ، أنا نمشي معاك بنفس المرجعية .. مجموعين تعيطو لربي ، كيفاش بغيتي الله يفتاخر بعبد ما قادر يخدم حتى شوية من العقل لي دارولك في لملخيخة ديالك ؟أخي المغربي أو الإسرائيلي أو الهندوسي أو المسيحي أو ... الخ .. بغيتي ولا كرهتي.. بلا دراما و بلا بطولات .. راه الوضع د الوباء هو صراع علمي :كائن ضد كائن و البقاء للأذكى، خودها هكا و هنينا و hashtag#خليك_فداركوم شد معانا الإجراءات .و السلام",0
17,"VIVEMENT LA FIN DU CONFINEMENT, QU’ON PUISSE SE FAIRE DES CÂLINSLes bienfaits d'un câlin : • Libère l’hormone de l’ocytocine (l’hormone du bonheur qui engendre une sensation de bien-être immédiat) • Diminue le stress, l’anxiété, la tristesse et la dépression • Renforce l’estime de soi • Nous rassure sur le fait que nous ne sommes pas seuls, que nous sommes en capacité de recevoir de l’amour et d’en donner. Démonstration en vidéo avec cet enfant qui fait des câlins à tout le monde",0
18,"Top 10 hashtag#MachineLearning Practices for hashtag#Python via T. Scott Clendaniel Link => bit.ly/10Top_MLPlease share on hashtag#LinkedIn if you haven't had a chance- thank you!hashtag#ai hashtag#analytics hashtag#artificialintelligence hashtag#bi hashtag#bigdata hashtag#bigdataanalytics hashtag#data hashtag#dataengineering hashtag#datascience hashtag#datainsights hashtag#datascientist hashtag#datamininghashtag#dataanalytics hashtag#deeplearning hashtag#digitaltransformation hashtag#innovation hashtag#machinelearning hashtag#management hashtag#ml hashtag#technologyhashtag#QUOTE:""Sometimes as a data scientist we forget what are we paid for. We are primarily developers, then researchers and then maybe mathematicians. Our first responsibility is to quickly develop solutions which are bug-free.Just because we can make models doesn’t mean we are gods. It doesn’t give us the freedom to write crap code.Since my start, I have made tremendous mistakes and thought of sharing what I see to be the most common skills for ML engineering. In my opinion, it’s also the most lacking skill in the industry right now.I call them software-illiterate data scientists because a lot of them are non-CS Coursera baptised engineers. And, I myself have been that 😅If it came to hiring between a great data scientist and a great ML engineer, I will hire the later.Let's get started.""",0
19,Bastien Talleux hashtag#Bravos Je voulais juste vous dire à quel point vous comptez pour l’équipe hashtag#EspritDéquipe,0
20,Humanity is crying NOW.LETS UNITE ❤ hashtag#bebusybeingawesomehashtag#Linkedin hashtag#Humanity,0
21,"hashtag#COVID19عملت اليوم تطبيق أندرويد مفتوح المصدر لتتبع حالات فيروس كورونا (COVID19) في العالم.- للي بحب ينزل التطبيق ، محتاج جهاز اندرويد بشتغل على اصدار 5.0.0 فما فوق وبتقدر تنزل التطبيق من قسم ال release في Github من خلال الرابط : https://lnkd.in/gFijWdBI just created an open source android App that track coronavirus (COVID19) cases in the world.- For who want to install the App (Current version 1.0.0-alpha)The app support android devices that run on version 5.0.0 and aboveyou can download it from release section on Github via this link https://lnkd.in/gFijWdB* For developers, All pull requests are welcomehashtag#android hashtag#coronavirus hashtag#covid",0
22,hashtag#coronavirus,0
23,"Urgently looking for Shipping & Logistic Executive for our Head Office (Karachi), interested candidates having 1-2 years of relevant experience may apply at careers@danytech.com before March 31, 2020.Please mention position title in subject line along with the details of your current salary and benefits.________HabibMetro is looking for an HR Intern with a pleasant personality, good interpersonal skills and expertise in MS Excel to be based in Karachi. Interested candidates may inbox us their resume at careers@habibmetro.comhashtag#jobvacancy hashtag#jobopportunities hashtag#jobalert hashtag#pleaseshare hashtag#helpeachother",1
24,الالمان يوفرون الاكل في الطرقات السريعة للبولونيون. تحية لهم للروح التضامنية 👍 hashtag#reseauxsociaux hashtag#stayhome hashtag#linkedin hashtag#coronavirus2020 hashtag#motivation hashtag#information hashtag#selfconfidence hashtag#selfdeveloppement hashtag#coronavirus,0
25,hashtag#تحذير : لكل من يستهين بهذا الوباء القاتل ... لعلها تكون عبرة لك و لغيرك hashtag#كوروناhashtag#covid_19 hashtag#coronavirus hashtag#Dj_dz hashtag#LinkedIn hashtag#dz hashtag#Algerie hashtag#Algeria hashtag#muslims hashtag#Alger hashtag#muslim hashtag#sunnah hashtag#islam,0
26,"Urgently looking for Shipping & Logistic Executive for our Head Office (Karachi), interested candidates having 1-2 years of relevant experience may apply at careers@danytech.com before March 31, 2020.Please mention position title in subject line along with the details of your current salary and benefits.________HabibMetro is looking for an HR Intern with a pleasant personality, good interpersonal skills and expertise in MS Excel to be based in Karachi. Interested candidates may inbox us their resume at careers@habibmetro.comhashtag#jobvacancy hashtag#jobopportunities hashtag#jobalert hashtag#pleaseshare hashtag#helpeachother",1
27,This is a great resource for leaders navigating these unprecedented times. Thanks Sam for sharing this!,0
28,COVID19: SALARY REDUCTION?Can your employer reduce or restructure your salary package? Know Your Rights as an Employee in the UAE. Here is a snippet of the webinar hosted by CIPD Middle East in collaboration with Clyde & Cohashtag#cipd hashtag#hr hashtag#business,1
